composition_key,band_gap,band_gap_q25,band_gap_q75,n_dois,n_extractions,element_system,formula_name,band_gap_iqr
Ag:0.25000000|Ga:0.25000000|O:0.50000000,2.2,2.2,2.2,1,4,Ag-Ga-O,β-AgGaO2,0.0
Ag:0.25000000|Ga:0.25000000|S:0.50000000,2.7,2.64,2.8899999999999997,19,24,Ag-Ga-S,AgGaS2,0.24999999999999956
Ag:0.25000000|Ga:0.25000000|Se:0.50000000,1.8199999999999998,1.8,1.8575000000000002,10,11,Ag-Ga-Se,AgGaSe2,0.05750000000000011
Ag:0.25000000|Ge:0.12500000|O:0.50000000|Zn:0.12500000,2.2775,2.27125,2.28375,2,3,Ag-Ge-O-Zn,Ag2ZnGeO4,0.012499999999999734
Ag:0.25000000|Hg:0.12500000|S:0.50000000|Sn:0.12500000,1.38,1.38,1.38,1,1,Ag-Hg-S-Sn,Ag2HgSnS4,0.0
Ag:0.25000000|In:0.25000000|O:0.50000000,2.46,2.46,2.46,1,1,Ag-In-O,AgInO2,0.0
Ag:0.25000000|In:0.25000000|S:0.25000000|Se:0.25000000,1.45,1.45,1.45,1,1,Ag-In-S-Se,AgIn(S1−xSex)2,0.0
Ag:0.25000000|In:0.25000000|S:0.50000000,1.87,1.8225,1.95,20,21,Ag-In-S,AgInS2,0.12749999999999995
Ag:0.25000000|In:0.25000000|Se:0.50000000,1.2149999999999999,1.2,1.24,5,5,Ag-In-Se,AgInSe2,0.040000000000000036
Ag:0.25000000|In:0.25000000|Te:0.50000000,1.115,1.115,1.115,1,2,Ag-In-Te,AgInTe2,0.0
Ag:0.25000000|K:0.12500000|P:0.12500000|S:0.50000000,3.02,3.02,3.02,1,1,Ag-K-P-S,KAg2PS4,0.0
Ag:0.25000000|N:0.25000000|P:0.25000000|Ti:0.25000000,3.25,3.25,3.25,1,1,Ag-N-P-Ti,AgTiNPs,0.0
Ag:0.25000000|O:0.50000000|Sc:0.25000000,2.95,2.95,2.95,1,2,Ag-O-Sc,AgScO2,0.0
Ag:0.25000000|O:0.50000000|Ti:0.25000000,2.82,2.81,2.95,5,6,Ag-O-Ti,TiO2-Ag,0.14000000000000012
Ag:0.25000000|P:0.50000000|V:0.25000000,4.11,4.11,4.11,1,1,Ag-P-V,PVP-Ag,0.0
Ag:0.25000000|S:0.50000000|Sb:0.25000000,1.7,1.7,1.7,1,1,Ag-S-Sb,AgSbS2,0.0
Ag:0.25000000|S:0.50000000|Y:0.25000000,3.16,3.16,3.16,1,2,Ag-S-Y,AgYS2,0.0
Ag:0.25000000|S:0.50000000|Zn:0.25000000,2.54,2.54,2.54,1,1,Ag-S-Zn,Zn0.5Ag0.5S,0.0
Ag:0.25000000|Sb:0.25000000|Se:0.50000000,0.915,0.8075,0.9575,3,4,Ag-Sb-Se,AgSbSe2,0.15000000000000002
Ag:0.25000000|Sb:0.25000000|Te:0.50000000,0.455,0.4175,0.49250000000000005,2,3,Ag-Sb-Te,AgSbTe2,0.07500000000000007
Ag:0.25000000|Te:0.50000000|Y:0.25000000,1.36,1.36,1.36,1,1,Ag-Te-Y,YAgTe2,0.0
Ag:0.26666667|Bi:0.06666667|O:0.53333333|P:0.13333333,3.255,3.255,3.255,1,2,Ag-Bi-O-P,Ag / Ag3PO4 / BiPO4,0.0
Ag:0.27272727|Mo:0.09090909|O:0.36363636|P:0.09090909|S:0.18181818,2.0,2.0,2.0,1,1,Ag-Mo-O-P-S,Ag3PO4 / MoS2,0.0
Ag:0.27272727|O:0.54545455|P:0.09090909|Ti:0.09090909,2.8125,2.78375,2.84125,2,2,Ag-O-P-Ti,Ag3PO4 / TiO2,0.05750000000000011
Ag:0.28571429|Cr:0.14285714|O:0.57142857,1.775,1.7275,1.8,6,8,Ag-Cr-O,Ag2CrO4,0.07250000000000001
Ag:0.28571429|Cu:0.28571429|O:0.42857143,2.2,2.2,2.2,1,1,Ag-Cu-O,Ag2Cu2O3,0.0
Ag:0.28571429|Mo:0.14285714|O:0.57142857,3.24,3.1,3.62,7,11,Ag-Mo-O,Ag2MoO4,0.52
Ag:0.28571429|O:0.57142857|S:0.14285714,3.8,3.8,3.8,1,2,Ag-O-S,Ag2SO4,0.0
